Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2022-04-07,171.16000366210938,173.36000061035156,169.85000610351562,172.13999938964844,77594700,0,0,yfinance.Ticker object <AAPL>
2022-04-08,171.77999877929688,171.77999877929688,169.1999969482422,170.08999633789062,76515900,0,0,yfinance.Ticker object <AAPL>
2022-04-11,168.7100067138672,169.02999877929688,165.5,165.75,72246700,0,0,yfinance.Ticker object <AAPL>
2022-04-12,168.02000427246094,169.8699951171875,166.63999938964844,167.66000366210938,79265200,0,0,yfinance.Ticker object <AAPL>
2022-04-13,167.38999938964844,171.0399932861328,166.77000427246094,170.39999389648438,70618900,0,0,yfinance.Ticker object <AAPL>
2022-04-14,170.6199951171875,171.27000427246094,165.0399932861328,165.2899932861328,75237500,0,0,yfinance.Ticker object <AAPL>
2022-04-18,163.9199981689453,166.60000610351562,163.57000732421875,165.07000732421875,69023900,0,0,yfinance.Ticker object <AAPL>
2022-04-19,165.02000427246094,167.82000732421875,163.91000366210938,167.39999389648438,67723800,0,0,yfinance.Ticker object <AAPL>
2022-04-20,168.75999450683594,168.8800048828125,166.10000610351562,167.22999572753906,67929800,0,0,yfinance.Ticker object <AAPL>
2022-04-21,168.91000366210938,171.52999877929688,165.91000366210938,166.4199981689453,87227800,0,0,yfinance.Ticker object <AAPL>
2022-04-22,166.4600067138672,167.8699951171875,161.5,161.7899932861328,84882400,0,0,yfinance.Ticker object <AAPL>
2022-04-25,161.1199951171875,163.1699981689453,158.4600067138672,162.8800048828125,96046400,0,0,yfinance.Ticker object <AAPL>
2022-04-26,162.25,162.33999633789062,156.72000122070312,156.8000030517578,95623200,0,0,yfinance.Ticker object <AAPL>
2022-04-27,155.91000366210938,159.7899932861328,155.3800048828125,156.57000732421875,88063200,0,0,yfinance.Ticker object <AAPL>
2022-04-28,159.25,164.52000427246094,158.92999267578125,163.63999938964844,130216800,0,0,yfinance.Ticker object <AAPL>
2022-04-29,161.83999633789062,166.1999969482422,157.25,157.64999389648438,131587100,0,0,yfinance.Ticker object <AAPL>
2022-05-02,156.7100067138672,158.22999572753906,153.27000427246094,157.9600067138672,123055300,0,0,yfinance.Ticker object <AAPL>
2022-05-03,158.14999389648438,160.7100067138672,156.32000732421875,159.47999572753906,88966500,0,0,yfinance.Ticker object <AAPL>
2022-05-04,159.6699981689453,166.47999572753906,159.25999450683594,166.02000427246094,108256500,0,0,yfinance.Ticker object <AAPL>
2022-05-05,163.85000610351562,164.0800018310547,154.9499969482422,156.77000427246094,130525300,0,0,yfinance.Ticker object <AAPL>
2022-05-06,156.00999450683594,159.44000244140625,154.17999267578125,157.27999877929688,116055700,0,0,yfinance.Ticker object <AAPL>
2022-04-07,2732.360107421875,2754.030029296875,2697.14501953125,2729.300048828125,972400,0,0,yfinance.Ticker object <GOOG>
2022-04-08,2725.0,2725.0,2675.050048828125,2680.2099609375,821700,0,0,yfinance.Ticker object <GOOG>
2022-04-11,2658.0,2658.783935546875,2592.35009765625,2595.929931640625,1209400,0,0,yfinance.Ticker object <GOOG>
2022-04-12,2648.469970703125,2648.469970703125,2551.52001953125,2567.489990234375,1150200,0,0,yfinance.Ticker object <GOOG>
2022-04-13,2572.530029296875,2613.114990234375,2568.77197265625,2605.719970703125,977100,0,0,yfinance.Ticker object <GOOG>
2022-04-14,2612.989990234375,2614.205078125,2542.22998046875,2545.06005859375,1174200,0,0,yfinance.Ticker object <GOOG>
2022-04-18,2548.199951171875,2574.239990234375,2531.569091796875,2559.219970703125,745900,0,0,yfinance.Ticker object <GOOG>
2022-04-19,2561.5400390625,2618.074951171875,2549.030029296875,2610.6201171875,1136000,0,0,yfinance.Ticker object <GOOG>
2022-04-20,2625.679931640625,2638.469970703125,2557.881103515625,2564.909912109375,1130500,0,0,yfinance.Ticker object <GOOG>
2022-04-21,2587.0,2606.14990234375,2493.0,2498.75,1507900,0,0,yfinance.Ticker object <GOOG>
2022-04-22,2500.0,2509.0400390625,2382.81005859375,2392.280029296875,2320500,0,0,yfinance.Ticker object <GOOG>
2022-04-25,2388.590087890625,2465.56005859375,2375.385009765625,2465.0,1726100,0,0,yfinance.Ticker object <GOOG>
2022-04-26,2455.0,2455.0,2383.237060546875,2390.1201171875,2469700,0,0,yfinance.Ticker object <GOOG>
2022-04-27,2287.4599609375,2350.0,2262.485107421875,2300.409912109375,3111900,0,0,yfinance.Ticker object <GOOG>
2022-04-28,2342.300048828125,2408.77001953125,2302.8779296875,2388.22998046875,1839500,0,0,yfinance.Ticker object <GOOG>
2022-04-29,2351.56005859375,2379.199951171875,2293.8798828125,2299.330078125,1683500,0,0,yfinance.Ticker object <GOOG>
